Title,Rating,Year,Length
S. Darko,3.6,2009,103 min
Beverly Hills Chihuahua,3.8,2008,91 min
Thugs of Hindostan,4.1,2018,164 min
Rollerball,3.1,2002,98 min
Thunderbirds,4.3,2004,95 min
Kazaam,3.0,1996,93 min
The Darkness,4.5,I 2016,92 min
Torque,4.1,2004,84 min
Paul Blart: Mall Cop 2,4.4,2015,94 min
Laxmii,2.4,2020,141 min
Baby Geniuses,2.6,1999,97 min
The NeverEnding Story III,3.2,1994,95 min
Going Overboard,1.8,1989,99 min
From Justin to Kelly,2.1,2003,81 min
Stan Helsing,3.6,2009,108 min
Universal Soldier: The Return,4.2,1999,83 min
Singularity,3.8,I 2017,92 min
Stop! Or My Mom Will Shoot,4.3,1992,87 min
Street Fighter: The Legend of Chun-Li,3.7,2009,96 min
Alone in the Dark,2.4,2005,96 min
Hercules in New York,3.3,1970,92 min
The Comebacks,4.3,2007,84 min
Prem Ratan Dhan Payo,4.4,2015,164 min
Caddyshack II,3.8,1988,98 min
Manos: The Hands of Fate,1.8,1966,70 min
One Missed Call,4.0,2008,87 min
Look Who's Talking Now,4.4,1993,96 min
The Gallows,4.3,2015,81 min
Superbabies: Baby Geniuses 2,1.9,2004,88 min
Boogeyman,4.2,2005,89 min
The Adventures of Pluto Nash,3.8,2002,95 min
Police Academy: Mission to Moscow,3.5,1994,83 min
Area 51,4.2,2015,91 min
Feardotcom,3.4,2002,101 min
Bucky Larson: Born to Be a Star,3.2,2011,97 min
Marmaduke,4.3,2010,87 min
Coolie No. 1,2.9,2020,134 min
Material Girls,4.0,2006,98 min
Furry Vengeance,3.8,2010,92 min
God's Not Dead 2,4.4,2016,120 min
Smolensk,1.1,2016,120 min
Postal,4.5,2007,100 min
The Devil Inside,4.2,2012,83 min
Police Academy 6: City Under Siege,4.4,1989,84 min
Are We Done Yet?,4.3,2007,92 min
Far Cry,3.1,2008,95 min
Housefull 4,3.5,2019,145 min
3 Ninjas: High Noon at Mega Mountain,2.9,1998,93 min
Monsters: Dark Continent,4.3,2014,119 min
A Sound of Thunder,4.2,2005,110 min
Glitter,2.3,2001,104 min
Student of the Year 2,2.2,2019,146 min
"Big Mommas: Like Father, Like Son",4.4,2011,107 min
Urban Legends: Final Cut,4.3,2000,97 min
The Butterfly Effect 2,4.5,2006,92 min
Pledge This!,1.8,2006,91 min
Cats & Dogs: The Revenge of Kitty Galore,4.3,2010,82 min
Kirk Cameron's Saving Christmas,1.4,2014,79 min
The Shaggy Dog,4.4,2006,98 min
Getaway,4.4,I 2013,90 min
Mr. Magoo,4.0,1997,87 min
Daddy Day Camp,3.2,2007,93 min
Wing Commander,4.3,1999,100 min
Ra.One,4.7,2011,156 min
V/H/S Viral,4.2,2014,81 min
Dudley Do-Right,3.9,1999,77 min
Kalank,3.6,2019,166 min
Gunday,2.4,2014,152 min
Setup,4.4,I 2011,85 min
Cabin Fever 2: Spring Fever,4.3,2009,86 min
Who's Your Caddy?,2.2,2007,93 min
College Road Trip,4.3,2008,83 min
Dragon Wars: D-War,3.5,2007,107 min
The Last Exorcism Part II,4.0,2013,88 min
Daniel the Wizard,1.7,2004,81 min
Dance Flick,3.5,2009,83 min
Hobgoblins,2.3,1988,88 min
Ballistic: Ecks vs. Sever,3.7,2002,91 min
Devil's Due,4.1,2014,89 min
Enes Batur,3.9,2018,110 min
Tees Maar Khan,2.6,2010,135 min
Code Name: K.O.Z.,2.0,2015,114 min
Santa Claus Conquers the Martians,2.7,1964,81 min
11-11-11,3.9,2011,90 min
2001: A Space Travesty,3.5,2000,99 min
Turks in Space,1.6,2006,110 min
Delta Farce,3.6,2007,90 min
Veere Di Wedding,3.2,2018,135 min
Recep Ivedik 5,3.3,2017,114 min
The Oogieloves in the Big Balloon Adventure,2.1,2012,88 min
Nothing to Lose,5.4,2018,134 min
Recep Ivedik 4,3.7,2014,117 min
Recep Ivedik 3,4.0,2010,95 min
Recep Ivedik 2,4.2,2009,107 min
